Abdul-Kerim Edilov,sherdog.com/fighter/AbdulKerim-Edilov-63045
Abel Trujillo,sherdog.com/fighter/Abel-Trujillo-17129
Adriano Martins,sherdog.com/fighter/Adriano-Martins-9907
Aisling Daly,sherdog.com/fighter/Aisling-Daly-25245
Akbarh Arreola,sherdog.com/fighter/Akbarh-Arreola-6120
Al Iaquinta,sherdog.com/fighter/Al-Iaquinta-42817
Alan Jouban,sherdog.com/fighter/Alan-Jouban-65878
Alan Omer,sherdog.com/fighter/Alan-Omer-23437
Alan Patrick,sherdog.com/fighter/Alan-Patrick-Silva-Alves-31096
Albert Tumenov,sherdog.com/fighter/Albert-Tumenov-60198
Alberto Mina,sherdog.com/fighter/Alberto-Mina-16705
Alejandro Perez,sherdog.com/fighter/Alejandro-Perez-13428
Alex Caceres,sherdog.com/fighter/Alex-Caceres-41586
Alex Chambers,sherdog.com/fighter/Alex-Chambers-65649
Alex Garcia,sherdog.com/fighter/Alex-Garcia-54124
Alex Oliveira,sherdog.com/fighter/Alex-Oliveira-110143
Alex White,sherdog.com/fighter/Alex-White-55954
Alexander Gustafsson,sherdog.com/fighter/Alexander-Gustafsson-26162
Alexander Yakovlev,sherdog.com/fighter/Alexander-Yakovlev-10846
Alexandra Albu,sherdog.com/fighter/Aleksandra-Albu-144949
Alexis Davis,sherdog.com/fighter/Alexis-Davis-22071
Ali Bagautinov,sherdog.com/fighter/Ali-Bagautinov-81198
Alistair Overeem,sherdog.com/fighter/Alistair-Overeem-461
Aljamain Sterling,sherdog.com/fighter/Aljamain-Sterling-66313
Amanda Nunes,sherdog.com/fighter/Amanda-Nunes-31496
Anderson Silva,sherdog.com/fighter/Anderson-Silva-1356
Andre Fili,sherdog.com/fighter/Andre-Fili-58385
Andreas Stahl,sherdog.com/fighter/Andreas-Stahl-57322
Andrei Arlovski,sherdog.com/fighter/Andrei-Arlovski-270
Andrew Holbrook,sherdog.com/fighter/Andrew-Holbrook-78384
Angela Hill,sherdog.com/fighter/Angela-Hill-148517
Angela Magana,sherdog.com/fighter/Angela-Magana-21720
Anthony Birchak,sherdog.com/fighter/Anthony-Birchak-53300
Anthony Hamilton,sherdog.com/fighter/Anthony-Hamilton-58947
Anthony Johnson,sherdog.com/fighter/Anthony-Johnson-17662
Anthony Perosh,sherdog.com/fighter/Anthony-Perosh-9491
Anthony Pettis,sherdog.com/fighter/Anthony-Pettis-26627
Antonio Braga Neto,sherdog.com/fighter/Antonio-Braga-Neto-19530
Antonio Carlos Junior,sherdog.com/fighter/Antonio-Carlos-Jr-143157
Antonio Rogerio Nogueira,sherdog.com/fighter/Antonio-Rogerio-Nogueira-2270
Antonio Silva,sherdog.com/fighter/Antonio-Silva-12354
Arnold Allen,sherdog.com/fighter/Arnold-Allen-97499
Ashlee Evans-Smith,sherdog.com/fighter/Ashlee-EvansSmith-75021
Augusto Montano,sherdog.com/fighter/Augusto-Montano-41494
Bartosz Fabinski,sherdog.com/fighter/Bartosz-Fabinski-87101
Bec Rawlings,sherdog.com/fighter/Bec-Rawlings-84964
Ben Nguyen,sherdog.com/fighter/Ben-Nguyen-8183
Ben Rothwell,sherdog.com/fighter/Ben-Rothwell-2262
Ben Saunders,sherdog.com/fighter/Ben-Saunders-10339
Beneil Dariush,sherdog.com/fighter/Beneil-Dariush-56583
Benson Henderson,sherdog.com/fighter/Benson-Henderson-20548
Bethe Correia,sherdog.com/fighter/Bethe-Correia-103069
Bilyal Makhov,
Bobby Green,sherdog.com/fighter/Bobby-Green-27953
Brad Pickett,sherdog.com/fighter/Brad-Pickett-11743
Brad Tavares,sherdog.com/fighter/Brad-Tavares-33095
Bradley Scott,sherdog.com/fighter/Bradley-Scott-44442
Brandon Thatch,sherdog.com/fighter/Brandon-Thatch-22298
Brendan O'Reilly,sherdog.com/fighter/Brendan-OReilly-52633
Brian Ortega,sherdog.com/fighter/Brian-Ortega-65310
Bryan Barberena,sherdog.com/fighter/Bryan-Barberena-51471
Bryan Caraway,sherdog.com/fighter/Bryan-Caraway-13791
Bubba Bush,sherdog.com/fighter/Bubba-Bush-29111
Cain Velasquez,sherdog.com/fighter/Cain-Velasquez-19102
Caio Magalhaes,sherdog.com/fighter/Caio-Magalhaes-51163
Carla Esparza,sherdog.com/fighter/Carla-Esparza-63410
Carlos Condit,sherdog.com/fighter/Carlos-Condit-6765
Carlos Diego Ferreira,sherdog.com/fighter/Carlos-Diego-Ferreira-26358
Cat Zingano,sherdog.com/fighter/Cat-Zingano-33932
Cathal Pendred,sherdog.com/fighter/Cathal-Pendred-64373
CB Dollaway,sherdog.com/fighter/CB-Dollaway-22350
Cezar Ferreira,sherdog.com/fighter/Cezar-Ferreira-22400
Chad Laprise,sherdog.com/fighter/Chad-Laprise-69681
Chad Mendes,sherdog.com/fighter/Chad-Mendes-38393
Charles Oliveira,sherdog.com/fighter/Charles-Oliveira-30300
Charles Rosa,sherdog.com/fighter/Charles-Rosa-71116
Chas Skelly,sherdog.com/fighter/Chas-Skelly-47227
Chico Camus,sherdog.com/fighter/Chico-Camus-42850
Chris Beal,sherdog.com/fighter/Chris-Beal-53369
Chris Camozzi,sherdog.com/fighter/Chris-Camozzi-17224
Chris Cariaso,sherdog.com/fighter/Chris-Cariaso-16467
Chris de la Rocha,sherdog.com/fighter/Chris-de-la-Rocha-146377
Chris Dempsey,sherdog.com/fighter/Chris-Dempsey-79277
Chris Kelades,sherdog.com/fighter/Chris-Kelades-51576
Chris Wade,sherdog.com/fighter/Chris-Wade-79335
Chris Weidman,sherdog.com/fighter/Chris-Weidman-42804
Claudia Gadelha,sherdog.com/fighter/Claudia-Gadelha-48404
Claudio Henrique da Silva,sherdog.com/fighter/Claudio-Henrique-da-Silva-25830
Clay Collard,sherdog.com/fighter/Clay-Collard-78465
Clay Guida,sherdog.com/fighter/Clay-Guida-8184
Clint Hester,sherdog.com/fighter/Clint-Hester-43866
CM Punk,sherdog.com/fighter/Phil-Brooks-184933
Cody Garbrandt,sherdog.com/fighter/Cody-Garbrandt-50381
Cody Pfister,sherdog.com/fighter/Cody-Pfister-48481
Colby Covington,sherdog.com/fighter/Colby-Covington-57269
Cole Miller,sherdog.com/fighter/Cole-Miller-13133
Conor McGregor,sherdog.com/fighter/Conor-McGregor-29688
Corey Anderson,sherdog.com/fighter/Corey-Anderson-67423
Cortney Casey,sherdog.com/fighter/Cortney-Casey-91121
Court McGee,sherdog.com/fighter/Court-McGee-34124
Cub Swanson,sherdog.com/fighter/Cub-Swanson-11002
Damian Grabowski,sherdog.com/fighter/Damian-Grabowski-30320
Damian Stasiak,sherdog.com/fighter/Damian-Stasiak-86920
Damon Jackson,sherdog.com/fighter/Damon-Jackson-113767
Dan Henderson,sherdog.com/fighter/Dan-Henderson-195
Dan Jolly,sherdog.com/fighter/Daniel-Jolly-83243
Daniel Cormier,sherdog.com/fighter/Daniel-Cormier-52311
Daniel Hooker,sherdog.com/fighter/Daniel-Hooker-45122
Daniel Kelly,sherdog.com/fighter/Daniel-Kelly-49516
Daniel Omielanczuk,sherdog.com/fighter/Daniel-Omielanczuk-54303
Daniel Sarafian,sherdog.com/fighter/Daniel-Sarafian-17665
Danny Castillo,sherdog.com/fighter/Danny-Castillo-26070
Danny Martinez,sherdog.com/fighter/Danny-Martinez-16777
Danny Roberts,sherdog.com/fighter/Danny-Roberts-64677
Daron Cruickshank,sherdog.com/fighter/Daron-Cruickshank-53717
Darren Elkins,sherdog.com/fighter/Darren-Elkins-22094
Darren Till,sherdog.com/fighter/Darren-Till-73436
David Grant,sherdog.com/fighter/Davey-Grant-30564
Demetrious Johnson,sherdog.com/fighter/Demetrious-Johnson-45452
Demian Maia,sherdog.com/fighter/Demian-Maia-14637
Dennis Bermudez,sherdog.com/fighter/Dennis-Bermudez-58065
Dennis Siver,sherdog.com/fighter/Dennis-Siver-9817
Derek Brunson,sherdog.com/fighter/Derek-Brunson-68494
Derrick Lewis,sherdog.com/fighter/Derrick-Lewis-59284
Diego Brandao,sherdog.com/fighter/Diego-Brandao-25097
Diego Rivas,sherdog.com/fighter/Diego-Rivas-81835
Diego Sanchez,sherdog.com/fighter/Diego-Sanchez-4824
Dileno Lopes,sherdog.com/fighter/Dileno-Lopes-29635
Dominic Waters,sherdog.com/fighter/Dominic-Waters-68971
Dominick Cruz,sherdog.com/fighter/Dominick-Cruz-12107
Dominique Steele,sherdog.com/fighter/Dominique-Steele-47845
Donald Cerrone,sherdog.com/fighter/Donald-Cerrone-15105
Dong Hyun Kim,sherdog.com/fighter/Dong-Hyun-Kim-16374
Dongi Yang,sherdog.com/fighter/Dongi-Yang-23501
Dooho Choi,sherdog.com/fighter/Doo-Ho-Choi-56689
Douglas Silva de Andrade,sherdog.com/fighter/Douglas-Silva-de-Andrade-87981
Drew Dober,sherdog.com/fighter/Drew-Dober-23982
Dustin Ortiz,sherdog.com/fighter/Dustin-Ortiz-58097
Dustin Poirier,sherdog.com/fighter/Dustin-Poirier-50529
Ed Herman,sherdog.com/fighter/Ed-Herman-6561
Eddie Alvarez,sherdog.com/fighter/Eddie-Alvarez-9265
Eddie Wineland,sherdog.com/fighter/Eddie-Wineland-4173
Edgar Garcia,sherdog.com/fighter/Edgar-Garcia-23108
Edimilson Souza,sherdog.com/fighter/Edimilson-Souza-57343
Edson Barboza,sherdog.com/fighter/Edson-Barboza-46259
Efrain Escudero,sherdog.com/fighter/Efrain-Escudero-16555
Elias Theodorou,sherdog.com/fighter/Elias-Theodorou-81765
Elizabeth Phillips,sherdog.com/fighter/Elizabeth-Phillips-83021
Elizeu Zaleski,sherdog.com/fighter/Elizeu-Zaleski-dos-Santos-63825
Emily Kagan,sherdog.com/fighter/Emily-Kagan-68959
Erick Silva,sherdog.com/fighter/Erick-Silva-15009
Ericka Almeida,sherdog.com/fighter/Ericka-Almeida-98419
Erik Koch,sherdog.com/fighter/Erik-Koch-23390
Erik Perez,sherdog.com/fighter/Erik-Perez-35509
Evan Dunham,sherdog.com/fighter/Evan-Dunham-22038
Fabio Maldonado,sherdog.com/fighter/Fabio-Maldonado-16426
Fabricio Werdum,sherdog.com/fighter/Fabricio-Werdum-8390
Felice Herrig,sherdog.com/fighter/Felice-Herrig-42432
Felipe Arantes,sherdog.com/fighter/Felipe-Arantes-31372
Felipe Olivieri,sherdog.com/fighter/Felipe-Olivieri-28181
Fernando Bruno,sherdog.com/fighter/Fernando-Bruno-25491
Francimar Barroso,sherdog.com/fighter/Francimar-Barroso-14702
Francis Ngannou,sherdog.com/fighter/Francis-Ngannou-152341
Francisco Rivera,sherdog.com/fighter/Francisco-Rivera-11908
Francisco Trinaldo,sherdog.com/fighter/Francisco-Trinaldo-31103
Frank Mir,sherdog.com/fighter/Frank-Mir-2329
Frankie Edgar,sherdog.com/fighter/Frankie-Edgar-14204
Frankie Saenz,sherdog.com/fighter/Frankie-Saenz-55410
Fredy Serrano,sherdog.com/fighter/Freddy-Serrano-112413
Gabriel Benitez,sherdog.com/fighter/Gabriel-Benitez-25733
Gabriel Gonzaga,sherdog.com/fighter/Gabriel-Gonzaga-7306
Garreth McLellan,sherdog.com/fighter/Garreth-McLellan-71237
Gasan Umalatov,sherdog.com/fighter/Gasan-Umalatov-53109
Geane Herrera,sherdog.com/fighter/Geane-Herrera-79290
Gegard Mousasi,sherdog.com/fighter/Gegard-Mousasi-7466
George Roop,sherdog.com/fighter/George-Roop-16415
George Sullivan,sherdog.com/fighter/George-Sullivan-15148
Germaine de Randamie,sherdog.com/fighter/Germaine-de-Randamie-41745
Gian Villante,sherdog.com/fighter/Gian-Villante-42802
Gilbert Burns,sherdog.com/fighter/Gilbert-Burns-91727
Gilbert Melendez,sherdog.com/fighter/Gilbert-Melendez-5545
Glaico Franca,sherdog.com/fighter/Glaico-Franca-117927
Gleison Tibau,sherdog.com/fighter/Gleison-Tibau-5993
Glover Teixeira,sherdog.com/fighter/Glover-Teixeira-4655
Godofredo Pepey,sherdog.com/fighter/Godofredo-Castro-40623
Gray Maynard,sherdog.com/fighter/Gray-Maynard-15835
Guido Cannetti,sherdog.com/fighter/Guido-Cannetti-69513
Gunnar Nelson,sherdog.com/fighter/Gunnar-Nelson-25246
Hacran Dias,sherdog.com/fighter/Hacran-Dias-19789
Hayder Hassan,sherdog.com/fighter/Hayder-Hassan-46033
Heather Clark,sherdog.com/fighter/Heather-Clark-67132
Hector Lombard,sherdog.com/fighter/Hector-Lombard-11292
Hector Urbina,sherdog.com/fighter/Hector-Urbina-18168
Henry Briones,sherdog.com/fighter/Enrique-Briones-20939
Henry Cejudo,sherdog.com/fighter/Henry-Cejudo-125297
Holly Holm,sherdog.com/fighter/Holly-Holm-75125
Hugo Viana,sherdog.com/fighter/Hugo-Viana-65456
Hyun Gyu Lim,sherdog.com/fighter/Hyun-Gyu-Lim-21040
Ian Entwistle,sherdog.com/fighter/Ian-Entwistle-50588
Ian McCall,sherdog.com/fighter/Ian-McCall-5001
Ilir Latifi,sherdog.com/fighter/Ilir-Latifi-40207
Islam Makhachev,sherdog.com/fighter/Islam-Makhachev-76836
Iuri Alcantara,sherdog.com/fighter/Iuri-Alcantara-16129
Jake Collier,sherdog.com/fighter/Jake-Collier-83599
Jake Ellenberger,sherdog.com/fighter/Jake-Ellenberger-13068
Jake Matthews,sherdog.com/fighter/Jake-Matthews-122139
James Krause,sherdog.com/fighter/James-Krause-31766
James Moontasri,sherdog.com/fighter/James-Moontasri-36889
James Te Huna,sherdog.com/fighter/James-Te-Huna-9033
James Vick,sherdog.com/fighter/James-Vick-81956
Jan Blachowicz,sherdog.com/fighter/Jan-Blachowicz-25821
Jared Cannonier,sherdog.com/fighter/Jared-Cannonier-78628
Jared Rosholt,sherdog.com/fighter/Jared-Rosholt-76763
Jarjis Danho,sherdog.com/fighter/Jarjis-Danho-76397
Jason Saggo,sherdog.com/fighter/Jason-Saggo-58213
Jeremy Stephens,sherdog.com/fighter/Jeremy-Stephens-12179
Jerrod Sanders,sherdog.com/fighter/Jerrod-Sanders-48156
Jessamyn Duke,sherdog.com/fighter/Jessamyn-Duke-71307
Jessica Aguilar,sherdog.com/fighter/Jessica-Aguilar-15174
Jessica Andrade,sherdog.com/fighter/Jessica-Andrade-100715
Jessica Eye,sherdog.com/fighter/Jessica-Eye-39575
Jessica Penne,sherdog.com/fighter/Jessica-Penne-21247
Jim Alers,sherdog.com/fighter/Jim-Alers-36581
Jim Miller,sherdog.com/fighter/Jim-Miller-14463
Jimi Manuwa,sherdog.com/fighter/Jimi-Manuwa-37528
Jimmie Rivera,sherdog.com/fighter/Jimmie-Rivera-40954
Jimy Hettes,sherdog.com/fighter/Jim-Hettes-48046
Joanna Jedrzejczyk,sherdog.com/fighter/Joanna-Jedrzejczyk-101411
Joanne Calderwood,sherdog.com/fighter/Joanne-Calderwood-94103
Joaquim Silva,sherdog.com/fighter/Joaquim-Silva-146291
Joby Sanchez,sherdog.com/fighter/Joby-Sanchez-50239
Joe Ellenberger,sherdog.com/fighter/Joe-Ellenberger-14173
Joe Lauzon,sherdog.com/fighter/Joe-Lauzon-4923
Joe Proctor,sherdog.com/fighter/Joe-Proctor-46307
Joe Riggs,sherdog.com/fighter/Joe-Riggs-2765
Joe Soto,sherdog.com/fighter/Joe-Soto-17004
John Dodson,sherdog.com/fighter/John-Dodson-11660
John Hathaway,sherdog.com/fighter/John-Hathaway-16704
John Howard,sherdog.com/fighter/John-Howard-11798
John Lineker,sherdog.com/fighter/John-Lineker-41906
John Makdessi,sherdog.com/fighter/John-Makdessi-37402
John Moraga,sherdog.com/fighter/John-Moraga-55159
Johnny Case,sherdog.com/fighter/Johnny-Case-28017
Johnny Eduardo,sherdog.com/fighter/Johnny-Eduardo-426
Johny Hendricks,sherdog.com/fighter/Johny-Hendricks-24539
Jon Delos Reyes,sherdog.com/fighter/Jon-delos-Reyes-58594
Jon Jones,sherdog.com/fighter/Jon-Jones-27944
Jon Tuck,sherdog.com/fighter/Jon-Tuck-45108
Jonathan Wilson,sherdog.com/fighter/Jonathan-Wilson-108571
Jonavin Webb,sherdog.com/fighter/Jonavin-Webb-81634
Jorge Masvidal,sherdog.com/fighter/Jorge-Masvidal-7688
Jose Alberto Quinonez,sherdog.com/fighter/Jose-Alberto-Quinonez-152627
José Aldo,sherdog.com/fighter/Jose-Aldo-11506
Joseph Benavidez,sherdog.com/fighter/Joseph-Benavidez-15008
Joseph Duffy,sherdog.com/fighter/Joseph-Duffy-17052
